"X","ColID","Beer","Origin","Style","ABV","Ratings","rating","reviews","state","region"
469,"476","Sierra Nevada Juniper Black Ale","CA, USA","American Black Ale","8.50%","3.744 (13)",3.744,13,"CA","california"
470,"477","The Bruery Sour in the Rye","CA, USA","Wild Ale","8.70%","3.744 (6)",3.744,6,"CA","california"
471,"478","Valley Brew Uberhoppy IPA","CA, USA","Imperial IPA","8%","3.744 (6)",3.744,6,"CA","california"
472,"479","Cascade Vlad the Imp Aler","OR, USA","Belgian Strong Ale","10.30%","3.744 (6)",3.744,6,"OR","oregon"
473,"480","Vanberg et Famille LambickX","NY, USA","Gueuze","6.75%","3.744 (6)",3.744,6,"NY","new york"
474,"481","Samuel Adams Chocolate Bock","MA, USA","Bock","5.60%","3.743 (71)",3.743,71,"MA","massachusetts"
475,"482","Stone Pale Ale","CA, USA","American Pale Ale","5.40%","3.743 (59)",3.743,59,"CA","california"
476,"483","New Belgium Erics Ale","CO, USA","Fruit Beer","7%","3.743 (11)",3.743,11,"CO","colorado"
477,"484","Schlafly Bieré de Garde","MO, USA","Biere de Garde","7%","3.743 (4)",3.743,4,"MO","missouri"
478,"485","Lagunitas Maximus","CA, USA","Imperial IPA","8.20%","3.742 (68)",3.742,68,"CA","california"
479,"486","Dogfish Head Golden Era (Shower)","DE, USA","Imperial Pilsener","9%","3.742 (16)",3.742,16,"DE","delaware"
480,"487","Heavyweight Barrel Aged Old Salty","NJ, USA","English Barleywine","11%","3.742 (9)",3.742,9,"NJ","new jersey"
481,"488","Weyerbacher Blithering Idiot","PA, USA","English Barleywine","11.10%","3.741 (47)",3.741,47,"PA","pennsylvania"
482,"489","Firestone Walker Union Jack IPA","CA, USA","IPA","7.50%","3.741 (24)",3.741,24,"CA","california"
483,"490","Sierra Nevada Torpedo Extra IPA","CA, USA","IPA","7.20%","3.740 (55)",3.74,55,"CA","california"
484,"491","Goose Island Matilda","IL, USA","Belgian Ale","6.70%","3.740 (45)",3.74,45,"IL","illinois"
485,"492","New Holland Dragon's Milk","MI, USA","Imperial Stout","10%","3.740 (33)",3.74,33,"MI","michigan"
486,"493","Deschutes Bond Street Hop Trip","OR, USA","American Pale Ale","5.50%","3.740 (22)",3.74,22,"OR","oregon"
487,"494","Lost Abbey Judgment Day","CA, USA","Abbey Quadrupel","10.50%","3.740 (18)",3.74,18,"CA","california"
488,"495","Rogue Imperial Porter","OR, USA","Imperial Porter","7.77%","3.740 (12)",3.74,12,"OR","oregon"
489,"496","New Glarus Unplugged Imperial Weizen","WI, USA","Wheatwine","9.60%","3.740 (12)",3.74,12,"WI","wisconsin"
490,"497","Southern Star Buried Hatchet Stout","TX, USA","Foreign / Extra Stout","8.25%","3.740 (12)",3.74,12,"TX","texas"
491,"498","Great Lakes Doppelrock","OH, USA","Doppelbock","7.80%","3.740 (7)",3.74,7,"OH","ohio"
492,"499","Founders Curmudgeon Old Ale","MI, USA","Old Ale","9.30%","3.739 (34)",3.739,34,"MI","michigan"
493,"500","Victory Baltic Thunder","PA, USA","Baltic Porter","8.50%","3.739 (15)",3.739,15,"PA","pennsylvania"
495,"501","Sweetwater Donkey Punch","GA, USA","American Barleywine","10%","3.738 (10)",3.738,10,"GA","georgia"
496,"502","Pizza Port Mother of All Beers","CA, USA","Abbey Quadrupel","10.50%","3.738 (10)",3.738,10,"CA","california"
497,"503","Thirsty Dog Old Leghumper","OH, USA","Porter","5.70%","3.737 (28)",3.737,28,"OH","ohio"
498,"504","Midnight Sun Epluche-Culotte (Panty Peeler Tripel)","AK, USA","Abbey Tripel","8.50%","3.737 (13)",3.737,13,"AK","alaska"
499,"505","Clown Shoes Chocolate Sombrero","MA, USA","Imperial Stout","9%","3.737 (13)",3.737,13,"MA","massachusetts"
500,"506","Full Sail Top Sail Imperial Porter Bourbon Barrel Aged","OR, USA","Imperial Porter","9.85%","3.737 (5)",3.737,5,"OR","oregon"
501,"507","Hopworks Organic Survival ""7-Grain"" Stout","OR, USA","Stout","5.30%","3.737 (5)",3.737,5,"OR","oregon"
502,"508","Russian River Damnation","CA, USA","Belgian Strong Ale","7%","3.736 (36)",3.736,36,"CA","california"
503,"509","Port Brewing Shark Attack Double Red Ale","CA, USA","Strong Ale","9.50%","3.736 (11)",3.736,11,"CA","california"
504,"510","Cascade Kriek Ale","OR, USA","Flanders Red","7.30%","3.736 (8)",3.736,8,"OR","oregon"
505,"511","Rogue Mocha Porter","OR, USA","Porter","5.10%","3.735 (87)",3.735,87,"OR","oregon"
506,"512","Breckenridge Small Batch 471 IPA","CO, USA","Imperial IPA","9.20%","3.735 (37)",3.735,37,"CO","colorado"
507,"513","The Duck-Rabbit Wee Heavy Scotch Style Ale","NC, USA","Scottish Ale","8%","3.735 (14)",3.735,14,"NC","north carolina"
508,"514","Avery New World Porter","CO, USA","Porter","6.70%","3.734 (32)",3.734,32,"CO","colorado"
509,"515","Odell Cutthroat Porter","CO, USA","Porter","4.50%","3.734 (30)",3.734,30,"CO","colorado"
510,"516","Mad River Steelhead Extra Stout","CA, USA","Stout","6.60%","3.733 (21)",3.733,21,"CA","california"
511,"517","Terrapin Moo-Hoo Chocolate Milk Stout","GA, USA","Chocolate Stout","6%","3.733 (15)",3.733,15,"GA","georgia"
512,"518","McNeills Imperial Stout","VT, USA","Imperial Stout","-","3.733 (12)",3.733,12,"VT","vermont"
513,"519","Rogue Double Mocha Porter","OR, USA","Imperial Porter","8.20%","3.733 (12)",3.733,12,"OR","oregon"
514,"520","Alpine Beer Company Good","CA, USA","American Barleywine","17%","3.733 (6)",3.733,6,"CA","california"
515,"521","Firestone Walker 11","CA, USA","Strong Ale","11%","3.733 (6)",3.733,6,"CA","california"
516,"522","SKA Modus Hoperandi IPA","CO, USA","IPA","6.80%","3.732 (17)",3.732,17,"CO","colorado"
517,"523","Fish Tale Old Woody Strong Old Ale","WA, USA","Old Ale","9.50%","3.731 (13)",3.731,13,"WA","washington"
518,"524","Central Waters Brewer's Reserve Bourbon Barrel Cherry Stout","WI, USA","Fruit Stout","-","3.731 (10)",3.731,10,"WI","wisconsin"
519,"525","Rogue I2PA (Imperial India Pale Ale)","OR, USA","Imperial IPA","10.30%","3.730 (44)",3.73,44,"OR","oregon"
521,"526","Flying Fish Imperial Espresso Porter","NJ, USA","Imperial Porter","8%","3.730 (7)",3.73,7,"NJ","new jersey"
522,"527","Titletown Hopasaurus Rex","WI, USA","IPA","6.42%","3.730 (7)",3.73,7,"WI","wisconsin"
523,"528","Allagash Odyssey","ME, USA","Belgian Strong Ale","10%","3.729 (15)",3.729,15,"ME","maine"
524,"529","Lost Abbey Ten Commandments","CA, USA","Belgian Strong Ale","9%","3.729 (14)",3.729,14,"CA","california"
525,"530","French Broad Anvil Porter","NC, USA","Porter","6%","3.729 (4)",3.729,4,"NC","north carolina"
526,"531","The Bruery Provisions Series: Mother Funker","CA, USA","Wild Ale","6%","3.729 (4)",3.729,4,"CA","california"
527,"532","The Bruery Smoking Wood - Rye Barrel","CA, USA","Smoked Ale","10%","3.729 (4)",3.729,4,"CA","california"
528,"533","Avery Old Jubilation Ale","CO, USA","English Strong Ale","8%","3.728 (47)",3.728,47,"CO","colorado"
529,"534","Stone 9th Anniversary Ale","CA, USA","Wheatwine","7.80%","3.728 (26)",3.728,26,"CA","california"
530,"535","Captain Lawrence Nor Easter Winter Warmer","NY, USA","Strong Ale","12%","3.727 (12)",3.727,12,"NY","new york"
531,"536","Sierra Nevada Northern Hemisphere Harvest Ale","CA, USA","IPA","6.70%","3.727 (8)",3.727,8,"CA","california"
532,"537","Weyerbacher Tiny","PA, USA","Imperial Stout","11.80%","3.727 (8)",3.727,8,"PA","pennsylvania"
533,"538","Red Brick Double Chocolate Oatmeal Porter","GA, USA","Imperial Porter","7.70%","3.727 (8)",3.727,8,"GA","georgia"
534,"539","Ommegang Ommegeddon","NY, USA","Saison","8%","3.726 (24)",3.726,24,"NY","new york"
535,"540","Anderson Valley Hop Ottin' IPA","CA, USA","IPA","7%","3.725 (71)",3.725,71,"CA","california"
536,"541","Left Hand Smoke Jumper Smoked Imperial Porter","CO, USA","Smoked Ale","10.50%","3.725 (21)",3.725,21,"CO","colorado"
537,"542","Stone 15th Anniversary Escondidian Imperial Black IPA","CA, USA","American Black Ale","10.80%","3.725 (13)",3.725,13,"CA","california"
538,"543","Samuel Adams Long Shot Double IPA","MA, USA","Imperial IPA","9%","3.725 (9)",3.725,9,"MA","massachusetts"
539,"544","Free State Kings Cross ESB","KS, USA","Extra Special Bitter","-","3.725 (5)",3.725,5,"KS","kansas"
540,"545","Blue Mountain Barrel House Dark Hollow","VA, USA","Imperial Stout","10%","3.725 (5)",3.725,5,"VA","virginia"
541,"546","Drake's IPA","CA, USA","IPA","7%","3.724 (14)",3.724,14,"CA","california"
542,"547","Avery The Czar Imperial Stout","CO, USA","Imperial Stout","11%","3.723 (50)",3.723,50,"CO","colorado"
543,"548","Lagunitas Little Sumpin' Wild Ale","CA, USA","Belgian Strong Ale","8.85%","3.722 (24)",3.722,24,"CA","california"
544,"549","Firestone Walker 12","CA, USA","Strong Ale","12%","3.722 (6)",3.722,6,"CA","california"
545,"550","Russian River Damnation Batch 23 (Oak Aged)","CA, USA","Abbey Tripel","10.50%","3.722 (6)",3.722,6,"CA","california"
547,"551","Stone Ruination Tenth Anniversary IPA","CA, USA","Imperial IPA","10.80%","3.722 (6)",3.722,6,"CA","california"
548,"552","Deep Ellum IPA","TX, USA","IPA","7%","3.722 (6)",3.722,6,"TX","texas"
549,"553","Great Lakes Chillwave Double IPA","OH, USA","Imperial IPA","9.40%","3.722 (6)",3.722,6,"OH","ohio"
550,"554","Dogfish Head 120 Minute IPA","DE, USA","Strong Ale","18%","3.721 (74)",3.721,74,"DE","delaware"
551,"555","Stone 8th Anniversary Ale","CA, USA","Strong Ale","7.80%","3.721 (31)",3.721,31,"CA","california"
552,"556","Lagunitas Wilco Tango Foxtrot Ale","CA, USA","Brown Ale","7.30%","3.721 (31)",3.721,31,"CA","california"
553,"557","Dark Horse Crooked Tree IPA","MI, USA","IPA","6%","3.720 (23)",3.72,23,"MI","michigan"
554,"558","DuClaw Black Jack Stout","MD, USA","Imperial Stout","8.50%","3.720 (7)",3.72,7,"MD","maryland"
555,"559","Santa Fe Imperial Java Stout","NM, USA","Imperial Stout","8%","3.720 (7)",3.72,7,"NM","new mexico"
556,"560","Hair of the Dog Dave","OR, USA","American Barleywine","29%","3.720 (2)",3.72,2,"OR","oregon"
557,"561","Pelican Tsunami Stout","OR, USA","Foreign / Extra Stout","7%","3.719 (18)",3.719,18,"OR","oregon"
558,"562","Dark Horse Scotty Karate Scotch Ale","MI, USA","Scottish Ale","9.75%","3.719 (18)",3.719,18,"MI","michigan"
559,"563","AleSmith Decadence 2005","CA, USA","Old Ale","11%","3.719 (13)",3.719,13,"CA","california"
560,"564","Rogue Brutal Bitter","OR, USA","Extra Special Bitter","6.50%","3.718 (82)",3.718,82,"OR","oregon"
561,"565","Old Dominion Oak Barrel Aged Millennium","DE, USA","English Barleywine","11.40%","3.718 (8)",3.718,8,"DE","delaware"
562,"566","Dark Horse Fore Smoked Stout","MI, USA","Smoked Ale","8%","3.717 (15)",3.717,15,"MI","michigan"
563,"567","Bear Republic Apex (Racer One Five)","CA, USA","Imperial IPA","8.10%","3.717 (9)",3.717,9,"CA","california"
564,"568","Schlafly Special Release Bourbon Barrel Ale","MO, USA","Strong Ale","-","3.717 (9)",3.717,9,"MO","missouri"
565,"569","Foothills Barrel Aged Sexual Chocolate Imperial Stout","NC, USA","Imperial Stout","10%","3.717 (3)",3.717,3,"NC","north carolina"
566,"570","Deschutes Cinder Cone Red Ale","OR, USA","Amber Ale","5.80%","3.716 (16)",3.716,16,"OR","oregon"
567,"571","Butte Creek Organic Revolution X Imperial IPA","CA, USA","Imperial IPA","9.10%","3.716 (16)",3.716,16,"CA","california"
568,"572","New Belgium 1554 Brussels Black Ale","CO, USA","Belgian Ale","5.50%","3.715 (78)",3.715,78,"CO","colorado"
569,"573","Boulder Hazed and Infused","CO, USA","American Pale Ale","4.85%","3.715 (45)",3.715,45,"CO","colorado"
570,"574","Chatoe Rogue Dirtoir Black Lager","OR, USA","Schwarzbier","5%","3.715 (10)",3.715,10,"OR","oregon"
571,"575","Port Brewing Mongo Double IPA","CA, USA","Imperial IPA","8.50%","3.715 (10)",3.715,10,"CA","california"
573,"576","New Glarus Unplugged Imperial IPA","WI, USA","Imperial IPA","-","3.714 (11)",3.714,11,"WI","wisconsin"
574,"577","Ithaca Excelsior! Brute","NY, USA","Gueuze","7%","3.714 (4)",3.714,4,"NY","new york"
575,"578","McSorelys Black and Tan","WI, USA","Stout","-","3.714 (4)",3.714,4,"WI","wisconsin"
576,"579","10 Barrel S1NIST0R Black Ale","OR, USA","Schwarzbier","5.30%","3.714 (4)",3.714,4,"OR","oregon"
577,"580","Terrapin Hopzilla","GA, USA","Imperial IPA","10.80%","3.714 (4)",3.714,4,"GA","georgia"
578,"581","New England Imperial Stout Trooper","CT, USA","Imperial Stout","8.50%","3.714 (4)",3.714,4,"CT","connecticut"
579,"582","FiftyFifty 2011 Imperial Eclipse Stout - Brewmaster's Grand Cru","CA, USA","Imperial Stout","10%","3.714 (4)",3.714,4,"CA","california"
580,"583","Almanac Heirloom Pumpkin Barleywine","CA, USA","Spiced Beer","12%","3.714 (4)",3.714,4,"CA","california"
581,"584","Goose Island Bourbon County Barleywine","IL, USA","American Barleywine","12.10%","3.714 (4)",3.714,4,"IL","illinois"
582,"585","The Commons Maybelle","OR, USA","Wild Ale","-","3.714 (4)",3.714,4,"OR","oregon"
583,"586","Ommegang Chocolate Indulgence","NY, USA","Chocolate Stout","7%","3.713 (35)",3.713,35,"NY","new york"
584,"587","Ommegang Adoration Special Winter Ale","NY, USA","Spiced Beer","10%","3.713 (12)",3.713,12,"NY","new york"
585,"588","Smuttynose Farmhouse Ale","NH, USA","Saison","7.40%","3.713 (12)",3.713,12,"NH","new hampshire"
586,"589","Grand Teton Double Vision Dopplebock","ID, USA","Doppelbock","8%","3.713 (5)",3.713,5,"ID","idaho"
587,"590","New Belgium Lips of Faith Imperial Coffee Chocolate Stout","CO, USA","Imperial Stout","9%","3.713 (5)",3.713,5,"CO","colorado"
588,"591","Lagunitas Undercover Investigation Shut-Down Ale","CA, USA","Strong Ale","9.90%","3.712 (41)",3.712,41,"CA","california"
589,"592","Bells Rye Stout","MI, USA","Stout","6.70%","3.712 (23)",3.712,23,"MI","michigan"
590,"593","Pizza Port Lou P. Lin","CA, USA","Imperial IPA","8.50%","3.712 (5)",3.712,5,"CA","california"
591,"594","Jolly Pumpkin Luciernaga Grande Reserve","MI, USA","Belgian Ale","7%","3.712 (5)",3.712,5,"MI","michigan"
592,"595","Dogwood Winter Ale 2003 (Whiskey-barrel aged)","GA, USA","Abbey Dubbel","-","3.711 (6)",3.711,6,"GA","georgia"
593,"596","Saint Arnold Endeavour IPA2","TX, USA","Imperial IPA","9%","3.711 (6)",3.711,6,"TX","texas"
594,"597","Funkwerks Saison","CO, USA","Saison","6.80%","3.711 (6)",3.711,6,"CO","colorado"
595,"598","Sierra Nevada / Allagash Beer Camp Myrons Walk","CA, USA","Belgian Ale","5.30%","3.711 (6)",3.711,6,"CA","california"
596,"599","Clown Shoes Galactica IPA","MA, USA","IPA","8%","3.711 (6)",3.711,6,"MA","massachusetts"
597,"600","Kyle Hollingsworth / Keri Kelly / Stone Collective Distortion IPA","CA, USA","Imperial IPA","9.30%","3.711 (6)",3.711,6,"CA","california"
599,"601","Avery Hog Heaven","CO, USA","American Barleywine","9.20%","3.710 (57)",3.71,57,"CO","colorado"
600,"602","Lakefront Bridge Burner Special Reserve Ale","WI, USA","Strong Ale","8%","3.710 (18)",3.71,18,"WI","wisconsin"
601,"603","Ninkasi Tricerahops Double IPA","OR, USA","Imperial IPA","9%","3.710 (18)",3.71,18,"OR","oregon"
602,"604","Barley John's Dark Knight Imperial Porter","MN, USA","Imperial Porter","18%","3.710 (7)",3.71,7,"MN","minnesota"
603,"605","Great Lakes Burning River Pale Ale","OH, USA","American Pale Ale","6%","3.709 (67)",3.709,67,"OH","ohio"
604,"606","Sweetwater Happy Ending Imperial Stout","GA, USA","Imperial Stout","9%","3.709 (19)",3.709,19,"GA","georgia"
605,"607","Ballast Point Three Sheets Barley Wine","CA, USA","American Barleywine","10%","3.709 (8)",3.709,8,"CA","california"
606,"608","Hair of the Dog Michael","OR, USA","Wild Ale","6.20%","3.709 (8)",3.709,8,"OR","oregon"
607,"609","Tyranena Devil Over A Barrel","WI, USA","Imperial Porter","8%","3.709 (8)",3.709,8,"WI","wisconsin"
608,"610","Prairie Artisan Ales Funky Galaxy","OK, USA","Saison","8%","3.709 (8)",3.709,8,"OK","oklahoma"
609,"611","Boulder Shake Chocolate Porter","CO, USA","Porter","5.90%","3.709 (8)",3.709,8,"CO","colorado"
610,"612","Jolly Pumpkin Luciernaga","MI, USA","Belgian Ale","6.50%","3.708 (21)",3.708,21,"MI","michigan"
611,"613","Southern Tier Oak Aged Un*Earthly","NY, USA","Imperial IPA","11%","3.708 (10)",3.708,10,"NY","new york"
612,"614","New Glarus Thumbprint Series Barley Wine","WI, USA","American Barleywine","-","3.708 (9)",3.708,9,"WI","wisconsin"
613,"615","Snoqualmie Falls Wildcat IPA","WA, USA","IPA","6.60%","3.708 (9)",3.708,9,"WA","washington"
614,"616","Stone Old Guardian Belgo Barley Wine","CA, USA","American Barleywine","12%","3.708 (9)",3.708,9,"CA","california"
615,"617","Founders Devil Dancer Triple IPA3","MI, USA","Imperial IPA","12%","3.707 (24)",3.707,24,"MI","michigan"
616,"618","Jason Fields & Kevin Sheppard / Tröegs / Stone Cherry Chocolate Stout","CA, USA","Chocolate Stout","7.30%","3.707 (11)",3.707,11,"CA","california"
617,"619","The Bruery Mischief","CA, USA","Belgian Strong Ale","8.50%","3.707 (11)",3.707,11,"CA","california"
618,"620","Sierra Nevada Weizenbock","CA, USA","Weizenbock","6.60%","3.706 (13)",3.706,13,"CA","california"
619,"621","Flying Dog Raging Bitch Belgian IPA","MD, USA","Imperial IPA","8.30%","3.705 (36)",3.705,36,"MD","maryland"
620,"622","Sprecher Black Bavarian","WI, USA","Schwarzbier","5.86%","3.705 (36)",3.705,36,"WI","wisconsin"
621,"623","Smuttynose Big A IPA","NH, USA","Imperial IPA","9%","3.704 (25)",3.704,25,"NH","new hampshire"
622,"624","Smuttynose Barleywine Style Ale","NH, USA","American Barleywine","10%","3.704 (24)",3.704,24,"NH","new hampshire"
623,"625","Lagunitas Imperial Red","CA, USA","Strong Ale","7.60%","3.703 (35)",3.703,35,"CA","california"
625,"626","Lancaster Milk Stout","PA, USA","Milk Stout","5.50%","3.703 (35)",3.703,35,"PA","pennsylvania"
626,"627","Heavy Seas Winter Storm Category 5 Ale","MD, USA","Strong Ale","7.50%","3.700 (35)",3.7,35,"MD","maryland"
627,"628","Maui Coconut Porter","HI, USA","Porter","5.50%","3.700 (30)",3.7,30,"HI","hawaii"
628,"629","New Belgium Hoptober Golden Ale","CO, USA","Blonde Ale","6%","3.700 (19)",3.7,19,"CO","colorado"
629,"630","Left Hand Twin Sisters Double IPA","CO, USA","Imperial IPA","9.60%","3.700 (17)",3.7,17,"CO","colorado"
630,"631","Dark Horse Double Crooked Tree IPA","MI, USA","Imperial IPA","13.60%","3.700 (16)",3.7,16,"MI","michigan"
631,"632","SurlyFest","MN, USA","Marzen / Oktoberfest","6%","3.700 (16)",3.7,16,"MN","minnesota"
632,"633","Jolly Pumpkin Biere de Mars","MI, USA","Biere de Garde","7%","3.700 (12)",3.7,12,"MI","michigan"
633,"634","Tyranena Down 'N Dirty Chocolate Oatmeal Stout","WI, USA","Oatmeal Stout","6.30%","3.700 (11)",3.7,11,"WI","wisconsin"
634,"635","Hoppin' Frog Hop Dam Triple I.P.A.","OH, USA","Imperial IPA","10%","3.700 (10)",3.7,10,"OH","ohio"
635,"636","Heavyweight Saison de la Soeur Black","NJ, USA","Saison","6.20%","3.700 (10)",3.7,10,"NJ","new jersey"
636,"637","Sweetwater Motor Boat","GA, USA","Extra Special Bitter","6.50%","3.700 (9)",3.7,9,"GA","georgia"
637,"638","Harpoon Leviathan Imperial IPA","MA, USA","Imperial IPA","10%","3.700 (7)",3.7,7,"MA","massachusetts"
638,"639","Bells Batch 9000","MI, USA","Imperial Stout","12.50%","3.700 (7)",3.7,7,"MI","michigan"
639,"640","Great Divide 17th Anniversary Wood Aged Double IPA","CO, USA","Imperial IPA","10%","3.700 (7)",3.7,7,"CO","colorado"
640,"641","Stochasticity Project Grapefruit Slam IPA","CA, USA","Imperial IPA","8.20%","3.700 (7)",3.7,7,"CA","california"
641,"642","Victory Red Thunder","PA, USA","Baltic Porter","8.50%","3.700 (7)",3.7,7,"PA","pennsylvania"
642,"643","Bells The Oracle DIPA Ale","MI, USA","Imperial IPA","10%","3.700 (5)",3.7,5,"MI","michigan"
643,"644","Goose Island Big John","IL, USA","Imperial Stout","11.50%","3.700 (5)",3.7,5,"IL","illinois"
644,"645","Anchorage Galaxy White IPA","AK, USA","IPA","7%","3.700 (5)",3.7,5,"AK","alaska"
645,"646","Sierra Nevada / Bells Beer Camp Maillards Odyssey","CA, USA","Strong Ale","8.50%","3.700 (5)",3.7,5,"CA","california"
646,"647","Pizza Port Old Boneyards Barleywine","CA, USA","American Barleywine","-","3.700 (4)",3.7,4,"CA","california"
647,"648","Triumph Imperial Stout","NJ, USA","Imperial Stout","11%","3.700 (4)",3.7,4,"NJ","new jersey"
648,"649","Great Divide Barrel Aged Old Ruffian Barley Wine","CO, USA","American Barleywine","12.70%","3.700 (4)",3.7,4,"CO","colorado"
649,"650","Captain Lawrence Smoke from the Oak (Wine Barrel)","NY, USA","Porter","6.40%","3.700 (4)",3.7,4,"NY","new york"
651,"651","Lost Abbey Saints Devotion","CA, USA","Wild Ale","6.25%","3.700 (4)",3.7,4,"CA","california"
652,"652","Left Hand Beer Week Sauce","CO, USA","Porter","6%","3.700 (4)",3.7,4,"CO","colorado"
653,"653","Olde Burnside Ten Penny Ale","CT, USA","Scottish Ale","-","3.700 (4)",3.7,4,"CT","connecticut"
654,"654","Pizza Port Night Rider","CA, USA","Imperial Stout","9.50%","3.700 (4)",3.7,4,"CA","california"
655,"655","FiftyFifty 2010 Imperial Eclipse Stout - Four Roses","CA, USA","Imperial Stout","9.50%","3.700 (4)",3.7,4,"CA","california"
656,"656","Pizza Port Le Woody Brune","CA, USA","Flanders Oude Bruin","-","3.700 (4)",3.7,4,"CA","california"
657,"657","Lakefront 25th Anniversary Series Imperial Stout","WI, USA","Imperial Stout","10%","3.700 (4)",3.7,4,"WI","wisconsin"
658,"658","Chris Banker / Stone / Insurgente Xocoveza Mocha Stout","CA, USA","Milk Stout","8.10%","3.700 (4)",3.7,4,"CA","california"
659,"659","Spencer Trappist Ale","MA, USA","Belgian Ale","6.50%","3.700 (4)",3.7,4,"MA","massachusetts"
660,"660","Sweetwater Dank Tank Mean Joe Bean","GA, USA","Imperial Porter","8.50%","3.700 (3)",3.7,3,"GA","georgia"
661,"661","Good People El Gordo Russian Imperial Stout","AL, USA","Imperial Stout","13.90%","3.700 (2)",3.7,2,"AL","alabama"
662,"662","Moylan's Moylander Double IPA","CA, USA","Imperial IPA","8.50%","3.697 (35)",3.697,35,"CA","california"
663,"663","Southern Tier Back Burner","NY, USA","English Barleywine","10%","3.697 (26)",3.697,26,"NY","new york"
664,"664","Southern Tier Imperial Gemini","NY, USA","Imperial IPA","10.50%","3.696 (22)",3.696,22,"NY","new york"
665,"665","Green Flash Barleywine Style Ale","CA, USA","American Barleywine","10.90%","3.696 (21)",3.696,21,"CA","california"
666,"666","Allagash Grand Cru","ME, USA","Belgian Ale","7.20%","3.695 (39)",3.695,39,"ME","maine"
667,"667","The Bruery Saison de Lente","CA, USA","Saison","6.50%","3.695 (17)",3.695,17,"CA","california"
668,"668","Southampton 10th Anniversary Old Ale","NY, USA","Old Ale","8.70%","3.695 (16)",3.695,16,"NY","new york"
669,"669","New Glarus Unplugged Smoke on the Porter","WI, USA","Smoked Ale","6.10%","3.695 (16)",3.695,16,"WI","wisconsin"
670,"670","Avery DuganA","CO, USA","Imperial IPA","8.50%","3.695 (16)",3.695,16,"CO","colorado"
671,"671","Southampton Saison Deluxe","NY, USA","Saison","7.40%","3.694 (14)",3.694,14,"NY","new york"
672,"672","Deschutes Black Butte Porter","OR, USA","Porter","5.20%","3.693 (57)",3.693,57,"OR","oregon"
673,"673","Jolly Pumpkin Maracaibo Especial","MI, USA","Brown Ale","7.50%","3.692 (22)",3.692,22,"MI","michigan"
674,"674","The Bruery 2 Turtle Doves","CA, USA","Belgian Strong Ale","12%","3.692 (11)",3.692,11,"CA","california"
675,"675","Bells Batch 10,000 Ale","MI, USA","Strong Ale","9.20%","3.692 (9)",3.692,9,"MI","michigan"
703,"701","Kona Da Grind Buzz Kona Coffee Imperial Stout","HI, USA","Imperial Stout","10.50%","3.687 (5)",3.687,5,"HI","hawaii"
704,"702","Marin Mt. Tam Pale Ale","CA, USA","American Pale Ale","5%","3.687 (5)",3.687,5,"CA","california"
705,"703","Heavy Seas Loose Cannon","MD, USA","IPA","7.50%","3.686 (34)",3.686,34,"MD","maryland"
706,"704","Great Lakes Lake Erie Monster","OH, USA","Imperial IPA","9%","3.686 (19)",3.686,19,"OH","ohio"
707,"705","Avery Fourteen","CO, USA","Strong Ale","9.46%","3.686 (18)",3.686,18,"CO","colorado"
708,"706","Pizza Port DoHeny Double IPA","CA, USA","Imperial IPA","8%","3.686 (4)",3.686,4,"CA","california"
709,"707","Tyranena Whos Your Daddy? Bourbon Barrel-Aged Imperial Porter","WI, USA","Imperial Porter","8%","3.686 (4)",3.686,4,"WI","wisconsin"
710,"708","Ballast Point Habanero Sculpin","CA, USA","Spiced Beer","7%","3.686 (4)",3.686,4,"CA","california"
711,"709","Portland Benchmark Old Ale","OR, USA","Old Ale","9.90%","3.685 (10)",3.685,10,"OR","oregon"
712,"710","Widmer Brothers W'11 KGB Russian Imperial Stout","OR, USA","Imperial Stout","9.25%","3.685 (10)",3.685,10,"OR","oregon"
713,"711","LaConner India Pale Ale (Bottleworks)","WA, USA","IPA","7%","3.685 (10)",3.685,10,"WA","washington"
714,"712","Jolly Pumpkin Noel de Calabaza","MI, USA","Belgian Strong Ale","9%","3.684 (16)",3.684,16,"MI","michigan"
715,"713","Left Hand Fade To Black, Volume 1","CO, USA","Foreign / Extra Stout","8.50%","3.683 (9)",3.683,9,"CO","colorado"
716,"714","Nebraska Chardonnay French Oak Hop God","NE, USA","Belgian Strong Ale","10.10%","3.683 (3)",3.683,3,"NE","nebraska"
717,"715","Cigar City Brandy Barrel Aged Hunahpus Imperial Stout","FL, USA","Imperial Stout","11%","3.683 (3)",3.683,3,"FL","florida"
718,"716","Cascade Noyaux","OR, USA","Wild Ale","8.94%","3.683 (3)",3.683,3,"OR","oregon"
719,"717","Clown Shoes Undead Party Crasher","MA, USA","Imperial Stout","11%","3.683 (3)",3.683,3,"MA","massachusetts"
720,"718","Cisco Moor Porter","MA, USA","Porter","7%","3.682 (14)",3.682,14,"MA","massachusetts"
721,"719","Cigar City Jai Alai IPA","FL, USA","IPA","7.50%","3.682 (14)",3.682,14,"FL","florida"
722,"720","Left Hand Smoked Goosinator Doppelbock","CO, USA","Rauchbier","7.70%","3.682 (8)",3.682,8,"CO","colorado"
723,"721","Southern Tier Goat Boy","NY, USA","Weizenbock","7.50%","3.682 (8)",3.682,8,"NY","new york"
724,"722","Smuttynose Wheat Wine","NH, USA","Wheatwine","10%","3.681 (24)",3.681,24,"NH","new hampshire"
725,"723","AleSmith Nut Brown Ale","CA, USA","Brown Ale","5%","3.681 (13)",3.681,13,"CA","california"
